Date,Description,Amount
2026-01-02,Employer Payroll,2500.00
2026-01-03,Whole Foods,-84.57
2026-01-05,City Utilities,-120.40
2026-01-06,Netflix,-15.99
2026-01-08,Shell Station,-58.20
2026-01-10,Cafe Verde,-12.75
2026-01-12,Apartment Rent,-1450.00
2026-01-14,Target,-96.83
2026-01-16,Freelance Project,620.00
2026-01-18,Trader Joe's,-73.10
2026-01-21,Spotify,-10.99
2026-01-24,Uber,-24.50
2026-01-27,Pharmacy,-32.40
2026-01-29,Amazon,-48.14
2026-02-01,Employer Payroll,2500.00
2026-02-02,Whole Foods,-92.31
2026-02-04,City Utilities,-118.90
2026-02-05,Netflix,-15.99
2026-02-06,Shell Station,-61.30
2026-02-09,Cafe Verde,-14.25
2026-02-11,Apartment Rent,-1450.00
2026-02-13,Target,-110.44
2026-02-16,Freelance Project,620.00
2026-02-18,Trader Joe's,-81.62
2026-02-20,Spotify,-10.99
2026-02-23,Uber,-27.80
2026-02-26,Pharmacy,-29.95
2026-02-28,Amazon,-57.66
2026-03-01,Employer Payroll,2500.00
2026-03-03,Whole Foods,-87.20
2026-03-05,City Utilities,-122.10
2026-03-06,Netflix,-15.99
2026-03-08,Shell Station,-64.70
2026-03-10,Cafe Verde,-13.90
2026-03-12,Apartment Rent,-1450.00
2026-03-14,Target,-128.75
2026-03-16,Freelance Project,620.00
2026-03-18,Trader Joe's,-79.40
2026-03-20,Spotify,-10.99
2026-03-23,Uber,-30.25
2026-03-25,Pharmacy,-34.60
2026-03-28,Amazon,-66.49
